"customerid","avg_order_value"
16446,"84236.25"
12346,"77183.60"
15749,"14844.77"
15098,"13305.50"
12357,"6207.67"
12415,"5948.31"
12590,"4932.13"
12688,"4873.81"
12752,"4366.78"
18102,"4327.62"
18251,"4314.72"
17450,"4225.89"
12536,"4200.61"
16000,"4131.23"
12378,"4008.62"
12435,"3914.95"
14088,"3883.99"
15195,"3861.00"
14646,"3838.44"
14096,"3833.22"
12409,"3690.89"
12753,"3571.56"
12454,"3528.34"
13135,"3096.00"
12744,"3039.90"
17511,"2937.50"
12931,"2803.73"
14439,"2661.24"
13422,"2626.30"
13081,"2576.13"
12557,"2398.19"
16684,"2380.48"
17313,"2328.84"
12798,"2325.68"
16532,"2249.60"
16984,"2229.76"
12477,"2203.29"
12501,"2169.39"
15769,"2163.57"
14156,"2131.09"
17404,"2127.12"
16281,"2062.06"
17597,"2044.37"
17846,"2033.10"
18087,"2027.86"
15341,"2020.52"
15372,"2007.40"
16754,"2002.40"
12433,"1910.84"
12755,"1905.97"
14887,"1862.00"
16240,"1859.40"
16253,"1841.93"
14459,"1837.92"
16152,"1829.04"
12451,"1807.10"
17107,"1799.58"
14680,"1797.13"
16303,"1786.88"
14935,"1784.71"
15838,"1770.69"
16751,"1764.72"
12349,"1757.55"
16380,"1743.15"
13763,"1714.96"
12405,"1710.39"
15947,"1708.24"
12406,"1707.65"
16902,"1706.88"
12764,"1693.88"
16182,"1654.41"
15032,"1653.03"
15786,"1639.67"
12398,"1635.66"
13952,"1625.54"
13868,"1596.27"
13850,"1595.48"
17672,"1589.09"
12607,"1579.51"
12359,"1577.51"
12731,"1574.66"
16126,"1571.94"
14286,"1542.92"
12818,"1542.08"
13340,"1533.78"
13802,"1533.14"
17553,"1487.60"
12678,"1469.04"
12438,"1453.43"
12939,"1447.73"
13316,"1433.23"
14566,"1432.00"
14258,"1407.78"
18139,"1406.39"
12578,"1397.26"
14277,"1396.00"
12758,"1395.80"
14049,"1394.68"
17354,"1393.06"
12539,"1392.09"
13572,"1384.25"
17084,"1374.00"
12770,"1351.45"
12625,"1341.91"
13501,"1340.32"
13328,"1308.48"
17919,"1304.04"
14769,"1302.12"
13694,"1300.79"
17949,"1300.23"
16101,"1290.70"
15171,"1289.50"
16029,"1283.35"
16180,"1281.77"
13878,"1271.57"
17037,"1267.32"
14105,"1266.23"
13151,"1257.87"
13124,"1252.11"
12700,"1235.00"
15004,"1220.77"
16333,"1210.31"
12397,"1204.95"
14866,"1199.16"
12611,"1193.32"
16873,"1187.27"
16210,"1171.46"
14298,"1171.08"
15113,"1169.81"
17857,"1168.65"
13334,"1167.44"
16800,"1162.65"
14607,"1157.82"
13027,"1152.00"
15676,"1145.25"
12769,"1143.60"
16270,"1141.24"
15061,"1136.13"
12830,"1135.77"
17340,"1123.03"
13365,"1112.69"
15665,"1111.11"
15069,"1109.53"
12876,"1109.01"
12653,"1104.93"
13373,"1104.08"
15123,"1099.65"
15978,"1098.78"
13505,"1098.41"
13853,"1090.14"
12534,"1089.18"
14016,"1085.30"
12354,"1079.40"
13224,"1077.97"
16563,"1077.74"
14175,"1074.10"
13635,"1071.03"
14212,"1070.48"
14488,"1064.28"
14411,"1063.00"
12456,"1060.35"
17727,"1060.25"
16041,"1055.47"
14306,"1046.66"
15464,"1044.65"
12497,"1043.10"
16258,"1040.70"
16260,"1035.45"
13639,"1033.34"
13098,"1031.52"
13235,"1031.07"
15333,"1028.56"
13555,"1024.72"
13941,"1022.59"
12585,"1020.05"
12514,"1017.68"
14936,"1017.13"
12449,"1016.82"
16940,"1016.63"
17197,"1013.01"
12432,"1011.86"
13815,"1006.84"
12754,"1003.58"
12446,"1002.31"
14544,"1002.15"
17082,"1001.92"
12444,"1001.09"
16698,"999.00"
12766,"998.52"
14101,"996.13"
15416,"996.08"
17679,"996.06"
15382,"992.62"
15531,"986.20"
17416,"984.77"
17444,"980.01"
13093,"979.06"
18194,"973.84"
16652,"967.71"
12550,"964.83"
17728,"958.67"
18192,"957.97"
17244,"954.90"
15251,"953.18"
12597,"952.81"
12668,"951.79"
14535,"951.61"
12762,"949.26"
17044,"948.48"
14934,"945.47"
12371,"943.98"
12714,"941.77"
12567,"940.13"
12472,"938.87"
12429,"937.60"
12356,"937.14"
16986,"936.60"
17389,"936.28"
14145,"935.55"
18133,"931.50"
13680,"929.78"
13225,"923.41"
13934,"922.10"
15576,"921.37"
12652,"919.98"
13075,"919.61"
14015,"917.34"
13421,"916.86"
17396,"916.35"
15321,"916.10"
16216,"914.93"
12669,"914.68"
13174,"914.27"
15808,"912.82"
13689,"910.00"
14031,"909.83"
14125,"906.88"
15482,"906.65"
15480,"905.50"
18079,"903.29"
15484,"897.60"
15066,"893.59"
12772,"892.47"
15255,"890.85"
17829,"889.24"
17139,"887.56"
12360,"887.35"
12370,"885.49"
12428,"884.05"
13851,"883.82"
15076,"880.85"
12424,"880.48"
14062,"872.07"
15782,"871.58"
17353,"870.00"
13979,"869.87"
17649,"868.49"
17317,"866.78"
15502,"865.41"
13339,"860.12"
13881,"857.98"
15485,"854.83"
16398,"852.90"
12713,"848.55"
14245,"846.72"
15228,"846.68"
12635,"844.59"
12847,"843.64"
16108,"842.50"
17602,"842.40"
17426,"839.54"
15245,"838.61"
14146,"838.20"
13344,"837.23"
15832,"836.79"
12967,"830.45"
15640,"827.74"
16494,"826.53"
18092,"824.39"
13893,"821.10"
12480,"820.41"
17686,"819.92"
12980,"819.43"
12749,"818.18"
14164,"815.88"
12377,"814.06"
17338,"811.69"
16276,"810.60"
12656,"810.23"
15791,"806.35"
14918,"805.08"
15980,"799.62"
14733,"798.83"
14844,"797.45"
13336,"795.12"
14442,"794.91"
13523,"792.98"
13722,"791.80"
16013,"790.01"
13814,"789.56"
15065,"789.53"
14557,"788.38"
12540,"788.25"
14930,"787.65"
13777,"787.19"
12473,"785.61"
16609,"784.78"
17593,"784.77"
12865,"784.11"
16054,"783.90"
14961,"782.74"
13659,"781.50"
13583,"781.03"
18259,"779.53"
13375,"778.65"
16505,"777.60"
12425,"777.20"
15513,"776.75"
13341,"775.85"
14565,"774.78"
16222,"773.55"
15075,"773.03"
13362,"772.69"
13869,"770.91"
12965,"769.81"
16480,"769.29"
13849,"768.97"
15125,"768.57"
13356,"768.24"
15093,"766.17"
14885,"765.32"
14567,"765.18"
12705,"763.14"
16244,"761.38"
17509,"760.46"
13791,"758.00"
16053,"755.98"
13370,"754.87"
18104,"754.64"
12484,"754.55"
15265,"753.06"
13001,"752.77"
16256,"752.43"
12637,"750.36"
14923,"749.10"
12502,"744.77"
15057,"744.75"
13354,"743.53"
12374,"742.93"
13753,"741.26"
12603,"739.20"
14756,"738.96"
12976,"738.60"
15727,"737.01"
13209,"736.45"
14952,"736.32"
12916,"736.24"
15074,"735.67"
12626,"735.61"
14875,"732.66"
14505,"732.43"
15903,"732.39"
14700,"731.70"
12882,"731.52"
16491,"731.50"
17406,"728.14"
16440,"728.13"
14055,"725.64"
13139,"723.56"
12475,"723.38"
15505,"722.19"
13735,"720.89"
18145,"715.39"
14911,"714.98"
14828,"713.25"
17761,"712.78"
13587,"712.40"
13324,"712.20"
12560,"711.34"
14329,"710.75"
14422,"710.61"
13517,"709.47"
13629,"708.40"
12453,"707.09"
14842,"706.17"
15444,"705.60"
12612,"704.04"
16705,"701.75"
14461,"701.02"
15478,"699.96"
17381,"699.16"
17133,"698.89"
14626,"697.82"
14121,"695.04"
17768,"693.97"
17311,"692.42"
13988,"691.33"
17735,"690.00"
13488,"689.87"
12886,"689.20"
13458,"689.04"
12658,"686.05"
12621,"684.48"
14222,"683.17"
12840,"681.69"
15673,"681.56"
12380,"681.20"
14001,"681.03"
12478,"680.99"
18082,"680.84"
13396,"680.50"
16422,"680.09"
15322,"679.68"
14051,"678.71"
16938,"677.92"
13285,"677.28"
16377,"676.20"
18055,"676.13"
13607,"675.51"
13325,"675.30"
13355,"674.70"
13464,"674.68"
12646,"673.49"
14154,"672.81"
15398,"672.77"
12638,"671.69"
15734,"669.73"
12613,"668.88"
12418,"668.58"
13015,"667.93"
18188,"667.01"
15311,"666.29"
15146,"663.58"
14603,"660.00"
12471,"659.62"
16083,"658.81"
13771,"658.61"
18204,"658.45"
14921,"658.04"
17675,"657.23"
15677,"657.23"
16708,"656.63"
16127,"656.25"
17004,"656.07"
13644,"656.07"
12516,"656.03"
14894,"655.75"
14725,"655.58"
14004,"654.66"
12836,"652.59"
15813,"651.96"
13798,"651.82"
16056,"650.75"
13895,"648.27"
12709,"647.10"
14418,"645.75"
